points,latitude,longitude
1,12.01951,8.564565
2,12.01716,8.565377
3,12.01706,8.56793
4,12.0138,8.569165
5,12.01024,8.567483
6,12.0072,8.567383
7,12.00675,8.565045
8,12.00606,8.56149
9,12.00752,8.556973
10,12.00795,8.553273
11,12.00851,8.549202
12,12.00868,8.54742
13,12.00884,8.546248
14,12.00909,8.545062
15,12.00946,8.543093
16,12.0121,8.543165
17,12.01418,8.543495
18,12.01842,8.54419
19,12.02012,8.544872
20,12.02021,8.546905
21,12.01988,8.549462
22,12.01981333,8.55108
23,12.021865,8.551926667
24,12.02329833,8.551061667
25,12.02480333,8.549245
26,12.02727333,8.550131667
27,12.02807667,8.548408333
28,12.030235,8.545816667
29,12.03156,8.545968333
30,12.033135,8.546416667
31,12.031525,8.547363333
32,12.030835,8.549411667
33,12.029785,8.555546667
34,12.027695,8.55614
35,12.02795833,8.559453333
36,12.02828667,8.561918333
37,12.02336667,8.562441667
38,12.02055167,8.560201667
39,12.020405,8.563396667
40,n/a,n/a
41,n/a,n/a
42,n/a,n/a
43,n/a,n/a
44,n/a,n/a
45,n/a,n/a
46,n/a,n/a
47,n/a,n/a
48,n/a,n/a
49,n/a,n/a
50,n/a,n/a
51,n/a,n/a
52,n/a,n/a
53,n/a,n/a
54,n/a,n/a
55,n/a,n/a
56,n/a,n/a
57,n/a,n/a
58,n/a,n/a
59,n/a,n/a
60,n/a,n/a
61,n/a,n/a
62,n/a,n/a
63,n/a,n/a
64,n/a,n/a
65,n/a,n/a
66,n/a,n/a
67,n/a,n/a
68,n/a,n/a
69,n/a,n/a
70,n/a,n/a
71,n/a,n/a
72,n/a,n/a
73,n/a,n/a
74,12.02052,8.560175
75,12.02349,8.562599
76,12.02778,8.562422
77,12.026,8.555948
78,12.02588,8.554901
79,12.0217,8.554819
80,12.0218,8.551998
81,12.01992,8.551143
82,12.01978,8.544413
83,12.00973,8.54263
84,12.0093,8.543106
85,12.0072,8.557424
86,12.00587,8.561831
87,12.00674,8.565842
88,12.00768,8.568765
89,12.01242,8.568911
90,12.01516,8.568685
91,12.01728,8.567779
92,12.0166,8.565668
93,12.02035,8.564301
94,12.02048,8.563913
95,n/a,n/a
96,n/a,n/a
97,n/a,n/a
98,n/a,n/a
99,n/a,n/a
100,n/a,n/a
101,n/a,n/a
102,n/a,n/a
103,n/a,n/a
104,n/a,n/a
105,n/a,n/a
106,n/a,n/a
107,n/a,n/a
108,n/a,n/a
109,n/a,n/a
110,n/a,n/a
111,n/a,n/a
112,n/a,n/a
113,n/a,n/a
114,n/a,n/a
115,n/a,n/a
116,n/a,n/a
117,n/a,n/a
118,n/a,n/a
119,n/a,n/a
120,n/a,n/a
121,n/a,n/a
122,n/a,n/a
123,n/a,n/a
124,n/a,n/a
125,n/a,n/a
126,n/a,n/a
127,n/a,n/a
128,n/a,n/a
129,n/a,n/a
130,n/a,n/a
131,n/a,n/a
132,n/a,n/a
133,n/a,n/a
134,n/a,n/a
135,n/a,n/a
136,n/a,n/a
137,n/a,n/a
138,n/a,n/a
139,n/a,n/a
140,n/a,n/a
141,n/a,n/a
142,n/a,n/a
143,n/a,n/a
144,n/a,n/a
145,n/a,n/a
146,n/a,n/a
147,12.02031,8.564223
148,12.01784,8.565142
149,12.0186,8.567397
150,12.01611,8.568335
151,12.01468,8.568833
152,12.01258,8.568818
153,12.01169,8.567818
154,12.00724,8.567352
155,12.00705,8.566573
156,12.00669,8.564753
157,12.00638,8.563335
158,12.00608,8.561855
159,12.00609,8.561142
160,12.00627,8.560183
161,12.00715,8.557955
162,12.00768,8.55661
163,12.00771,8.555483
164,12.00782,8.553838
165,12.00806,8.551983
166,12.00832,8.55009
167,12.0085,8.548518
168,12.00861667,8.547645
169,12.00885833,8.54607
170,12.0091,8.544975
171,12.009285,8.54379
172,12.00946333,8.542991667
173,12.01010333,8.542766667
174,12.011485,8.54299
175,12.01306333,8.54328
176,12.01512,8.54368
177,12.01674333,8.543991667
178,12.018485,8.544268333
179,12.02010833,8.544731667
180,12.02014833,8.54521
181,12.02019333,8.546783333
182,12.02007167,8.548063333
183,12.01985,8.549326667
184,12.019665,8.550393333
185,12.01978,8.551045
186,12.02005,8.55166
187,12.02116833,8.551848333
188,12.02258,8.551618333
189,12.023605,8.550798333
190,12.02285,8.551766667
191,12.02285,8.551766667
192,12.026025,8.551833333
193,12.02611667,8.551945
194,12.02617833,8.552681667
195,12.02621333,8.553353333
196,12.02621833,8.55428
197,12.02717167,8.55427
198,12.02716,8.554335
199,12.027155,8.554743333
200,12.02755167,8.55431
201,12.02754,8.5553
202,12.02758333,8.556783333
203,12.02758,8.55744
204,12.02775667,8.559198333
205,12.02798667,8.55986
206,12.02824167,8.560873333
207,12.028195,8.56193
208,12.02756833,8.5624
209,12.0266,8.562623333
210,12.024735,8.56255
211,12.02333,8.562505
212,12.02326333,8.561753333
213,12.02287833,8.560403333
214,12.02182,8.560191667
215,12.02068,8.560205
216,12.02061167,8.560211667
217,12.02033667,8.560856667
218,12.02042833,8.562501667
219,n/a,n/a
220,12.02033,8.5642
221,12.01788,8.565104
222,12.01857,8.567377
223,12.01252,8.568778
224,12.01129,8.567515
225,12.00808,8.567265
226,12.00724,8.567377
227,12.00698,8.566308
228,12.00628,8.562967
229,12.00605,8.561316
230,12.00742,8.557222
231,12.00767,8.555985
232,12.00776,8.554252
233,12.00815,8.551237
234,12.00851,8.5484
235,12.00879,8.546498
236,12.00917,8.544437
237,12.00939,8.543191
238,12.00948,8.542801
239,12.01317,8.54327
240,12.01767,8.54413
241,12.0201208,8.5446999
242,12.0201267,8.5477833
243,12.0205117,8.5517217
244,12.0238496,8.5506639
245,12.0228367,8.551775
246,12.0259636,8.5517779
247,12.0261858,8.5528475
248,12.0262232,8.5542642
249,12.0271963,8.5542869
250,12.0271402,8.5555044
251,12.027548,8.5546235
252,12.027614,8.5561357
253,12.0277917,8.5592633
254,12.0282842,8.5613298
255,12.0276633,8.5623767
256,12.0266133,8.5626167
257,12.0244483,8.56254
258,12.023315,8.5625233
259,12.0232417,8.5615133
260,12.0227883,8.560345
261,12.0206513,8.5602052
262,12.0203683,8.5604017
263,12.0204283,8.5630633
264,12.0204633,8.564095
265,n/a,n/a
266,n/a,n/a
267,n/a,n/a
268,n/a,n/a
269,n/a,n/a
270,n/a,n/a
271,n/a,n/a
272,n/a,n/a
273,n/a,n/a
274,n/a,n/a
275,n/a,n/a
276,n/a,n/a
277,n/a,n/a
278,n/a,n/a
279,n/a,n/a
280,n/a,n/a
281,n/a,n/a
282,n/a,n/a
283,n/a,n/a
284,n/a,n/a
285,n/a,n/a
286,n/a,n/a
287,n/a,n/a
288,n/a,n/a
289,n/a,n/a
290,n/a,n/a
291,n/a,n/a
292,n/a,n/a
293,12.02051,8.564213
294,12.01784,8.565172
295,12.01859,8.567385
296,12.01473,8.56887
297,12.01257,8.568798
298,12.01115,8.567473
299,12.00726,8.567342
300,12.00656,8.564398
301,12.00606,8.561865
302,12.00627,8.56031
303,12.00776,8.556463
304,12.00794,8.55308
305,12.00847,8.54981
306,12.00851,8.548282
307,12.00885,8.546222
308,12.00915,8.544712
309,12.00945,8.543015
310,12.01071,8.542843
311,12.01363,8.543383
312,12.01849,8.544305
313,12.02011,8.544603
314,12.02015833,8.547138333
315,12.019845,8.54939
316,12.01977833,8.551091667
317,12.02074333,8.551771667
318,12.02382667,8.550685
319,12.02297167,8.551745
320,12.02592833,8.5518
321,12.02617833,8.552556667
322,12.02612167,8.554216667
323,12.02722,8.554258333
324,12.02713,8.555528333
325,12.02759,8.55446
326,12.02757667,8.555413333
327,12.02761833,8.556153333
328,12.02761833,8.556993333
329,12.02783667,8.559311667
330,12.02819333,8.560343333
331,12.02801167,8.562246667
332,12.02699667,8.562541667
333,12.02505833,8.562551667
334,12.02337667,8.562488333
335,12.02325833,8.56151
336,12.02200833,8.560163333
337,12.02064,8.560171667
338,12.02039833,8.56026
339,12.02038667,8.562071667
340,12.02048667,8.564138333
341,n/a,n/a
342,n/a,n/a
343,n/a,n/a
344,n/a,n/a
345,n/a,n/a
346,n/a,n/a
347,n/a,n/a
348,n/a,n/a
349,n/a,n/a
350,n/a,n/a
351,n/a,n/a
352,n/a,n/a
353,n/a,n/a
354,n/a,n/a
